"","size","prop_ss","phi","mean_prev","fadeout"
"322",250,0.333333333333333,18.9666666666667,0.000818836150719912,0.974
"323",250,0.333333333333333,20.6,0.000835401093760421,0.972
"324",250,0.333333333333333,22.2333333333333,0.000956239784020191,0.972
"325",250,0.333333333333333,23.8666666666667,0.00103389782682481,0.966
"326",250,0.333333333333333,25.5,0.000859464854089816,0.964
"327",250,0.333333333333333,27.1333333333333,0.00109671722533568,0.966
"328",250,0.333333333333333,28.7666666666667,0.00113441785148421,0.96
"329",250,0.333333333333333,30.4,0.00111130265389405,0.974
"330",250,0.333333333333333,32.0333333333333,0.00150022259133291,0.954
"331",250,0.333333333333333,33.6666666666667,0.00127373261084707,0.96
"332",250,0.333333333333333,35.3,0.00135484974389719,0.956
"333",250,0.333333333333333,36.9333333333333,0.00149702551821712,0.946
"334",250,0.333333333333333,38.5666666666667,0.00144057244405014,0.936
"335",250,0.333333333333333,40.2,0.00155182013780503,0.95
"336",250,0.333333333333333,41.8333333333333,0.00152558956580444,0.954
"337",250,0.333333333333333,43.4666666666667,0.00172506851725792,0.942
"338",250,0.333333333333333,45.1,0.00161639895277453,0.948
"339",250,0.333333333333333,46.7333333333333,0.00167410266325054,0.946
"340",250,0.333333333333333,48.3666666666667,0.00174915348889657,0.944
"341",250,0.333333333333333,50,0.00205846847550639,0.916
"342",250,0.366666666666667,1,9.24142012404729e-05,0.998
"343",250,0.366666666666667,2.63333333333333,0.000183965415687293,0.996
"344",250,0.366666666666667,4.26666666666667,0.000213422914205722,0.998
"345",250,0.366666666666667,5.9,0.000330890935352807,0.996
"346",250,0.366666666666667,7.53333333333333,0.000317557215100415,0.994
"347",250,0.366666666666667,9.16666666666667,0.000418441137799999,0.994
"348",250,0.366666666666667,10.8,0.000526055385060759,0.988
"349",250,0.366666666666667,12.4333333333333,0.000568957702767656,0.982
"350",250,0.366666666666667,14.0666666666667,0.000616539731234444,0.982
"351",250,0.366666666666667,15.7,0.000724676406770648,0.978
"352",250,0.366666666666667,17.3333333333333,0.000791245612059667,0.97
"353",250,0.366666666666667,18.9666666666667,0.000916428185268512,0.972
"354",250,0.366666666666667,20.6,0.000823358925178912,0.982
"355",250,0.366666666666667,22.2333333333333,0.00101551856993294,0.964
"356",250,0.366666666666667,23.8666666666667,0.000948015679154114,0.962
"357",250,0.366666666666667,25.5,0.00111061080144425,0.964
"358",250,0.366666666666667,27.1333333333333,0.00120314247076219,0.958
"359",250,0.366666666666667,28.7666666666667,0.00127351819805818,0.938
"360",250,0.366666666666667,30.4,0.00129352467020464,0.962
"361",250,0.366666666666667,32.0333333333333,0.00156574313820457,0.96
"362",250,0.366666666666667,33.6666666666667,0.00130431158314371,0.94
"363",250,0.366666666666667,35.3,0.00145645554813004,0.956
"364",250,0.366666666666667,36.9333333333333,0.00144986610835157,0.95
"365",250,0.366666666666667,38.5666666666667,0.00168827413787487,0.944
"366",250,0.366666666666667,40.2,0.00173597357006703,0.956
"367",250,0.366666666666667,41.8333333333333,0.00177196942578283,0.946
"368",250,0.366666666666667,43.4666666666667,0.00168622882914025,0.95
"369",250,0.366666666666667,45.1,0.00176344514808389,0.95
"370",250,0.366666666666667,46.7333333333333,0.00197780293197448,0.938
"371",250,0.366666666666667,48.3666666666667,0.00181626508550657,0.948
"372",250,0.366666666666667,50,0.00203351499459426,0.93
"373",250,0.4,1,9.23436943007198e-05,0.998
"374",250,0.4,2.63333333333333,0.000171793311390367,0.992
"375",250,0.4,4.26666666666667,0.000261576532901505,0.994
"376",250,0.4,5.9,0.000284511274275462,0.988
"377",250,0.4,7.53333333333333,0.000348335568249257,0.988
"378",250,0.4,9.16666666666667,0.000489199624921404,0.982
"379",250,0.4,10.8,0.000591267219578851,0.988
"380",250,0.4,12.4333333333333,0.000525149786942512,0.988
"381",250,0.4,14.0666666666667,0.000589203195711915,0.984
"382",250,0.4,15.7,0.000741323156611901,0.972
"383",250,0.4,17.3333333333333,0.00084726757710018,0.974
"384",250,0.4,18.9666666666667,0.000891461500959982,0.964
"385",250,0.4,20.6,0.00100994687519642,0.976
"386",250,0.4,22.2333333333333,0.00101013278435582,0.976
"387",250,0.4,23.8666666666667,0.00107065289534967,0.95
"388",250,0.4,25.5,0.00116422742680142,0.97
"389",250,0.4,27.1333333333333,0.00123287355065701,0.948
"390",250,0.4,28.7666666666667,0.00125545447238834,0.972
"391",250,0.4,30.4,0.00151284562488866,0.95
"392",250,0.4,32.0333333333333,0.00145702116797744,0.942
"393",250,0.4,33.6666666666667,0.00158075730950672,0.944
"394",250,0.4,35.3,0.00153637727715175,0.946
"395",250,0.4,36.9333333333333,0.00164508449971405,0.942
"396",250,0.4,38.5666666666667,0.00185221940637139,0.932
"397",250,0.4,40.2,0.00199759868468538,0.92
"398",250,0.4,41.8333333333333,0.00192945996788654,0.948
"399",250,0.4,43.4666666666667,0.00198476352306352,0.92
"400",250,0.4,45.1,0.00196378184987665,0.936
"401",250,0.4,46.7333333333333,0.0022006434283625,0.9
"402",250,0.4,48.3666666666667,0.00219861703502542,0.91
"403",250,0.4,50,0.00232527088078118,0.932
"404",250,0.433333333333333,1,8.86067541113466e-05,0.996
"405",250,0.433333333333333,2.63333333333333,0.000172239169747619,0.994
"406",250,0.433333333333333,4.26666666666667,0.000286773211171396,0.992
"407",250,0.433333333333333,5.9,0.000326206528021292,0.982
"408",250,0.433333333333333,7.53333333333333,0.000501100947171082,0.986
"409",250,0.433333333333333,9.16666666666667,0.000501030825060257,0.99
"410",250,0.433333333333333,10.8,0.000587015584140092,0.978
"411",250,0.433333333333333,12.4333333333333,0.00068750450230994,0.978
"412",250,0.433333333333333,14.0666666666667,0.000700499522730939,0.972
"413",250,0.433333333333333,15.7,0.000744679802190202,0.974
"414",250,0.433333333333333,17.3333333333333,0.000950378859042242,0.976
"415",250,0.433333333333333,18.9666666666667,0.00104223626776921,0.968
"416",250,0.433333333333333,20.6,0.000984244236748716,0.964
"417",250,0.433333333333333,22.2333333333333,0.00114230519937865,0.964
"418",250,0.433333333333333,23.8666666666667,0.00125104349906842,0.958
"419",250,0.433333333333333,25.5,0.00128764235436988,0.96
"420",250,0.433333333333333,27.1333333333333,0.00133517942224879,0.958
"421",250,0.433333333333333,28.7666666666667,0.0015169257583175,0.948
"422",250,0.433333333333333,30.4,0.00164189076239282,0.924
"423",250,0.433333333333333,32.0333333333333,0.00154276025489606,0.946
"424",250,0.433333333333333,33.6666666666667,0.00178180574966627,0.942
"425",250,0.433333333333333,35.3,0.00166473284354032,0.952
"426",250,0.433333333333333,36.9333333333333,0.00169976476113847,0.924
"427",250,0.433333333333333,38.5666666666667,0.00202167553954162,0.932
"428",250,0.433333333333333,40.2,0.00190405578816488,0.954
"429",250,0.433333333333333,41.8333333333333,0.00191299166311669,0.92
"430",250,0.433333333333333,43.4666666666667,0.00213039065420935,0.938
"431",250,0.433333333333333,45.1,0.00243717971718648,0.92
"432",250,0.433333333333333,46.7333333333333,0.00224301705912812,0.93
"433",250,0.433333333333333,48.3666666666667,0.00248055200719297,0.926
"434",250,0.433333333333333,50,0.00242503559914205,0.918
"435",250,0.466666666666667,1,0.000122594695096764,1
"436",250,0.466666666666667,2.63333333333333,0.000212606524327579,0.99
"437",250,0.466666666666667,4.26666666666667,0.000322499506562108,0.99
"438",250,0.466666666666667,5.9,0.000421034240686261,0.982
"439",250,0.466666666666667,7.53333333333333,0.000486916313120731,0.986
"440",250,0.466666666666667,9.16666666666667,0.000510142714114671,0.99
"441",250,0.466666666666667,10.8,0.000624580437962644,0.978
"442",250,0.466666666666667,12.4333333333333,0.000725361074170726,0.986
"443",250,0.466666666666667,14.0666666666667,0.000781802700169777,0.98
"444",250,0.466666666666667,15.7,0.000924331308762134,0.972
"445",250,0.466666666666667,17.3333333333333,0.000833010651454449,0.97
"446",250,0.466666666666667,18.9666666666667,0.0011246337987357,0.964
"447",250,0.466666666666667,20.6,0.00131367184428654,0.946
"448",250,0.466666666666667,22.2333333333333,0.0012787868673807,0.95
"449",250,0.466666666666667,23.8666666666667,0.00131355823551808,0.942
"450",250,0.466666666666667,25.5,0.00130253373673843,0.97
"451",250,0.466666666666667,27.1333333333333,0.00156649132986376,0.954
"452",250,0.466666666666667,28.7666666666667,0.00160116189697288,0.948
"453",250,0.466666666666667,30.4,0.00148694166132693,0.964
"454",250,0.466666666666667,32.0333333333333,0.00194111620347496,0.938
"455",250,0.466666666666667,33.6666666666667,0.00201302150642848,0.932
"456",250,0.466666666666667,35.3,0.00215023071789824,0.92
"457",250,0.466666666666667,36.9333333333333,0.00202208444185786,0.894
"458",250,0.466666666666667,38.5666666666667,0.00205453281336835,0.916
"459",250,0.466666666666667,40.2,0.00208480512416073,0.9
"460",250,0.466666666666667,41.8333333333333,0.00213736625030855,0.916
"461",250,0.466666666666667,43.4666666666667,0.00227294959510064,0.91
"462",250,0.466666666666667,45.1,0.00229227491553848,0.912
"463",250,0.466666666666667,46.7333333333333,0.0024604696214448,0.922
"464",250,0.466666666666667,48.3666666666667,0.00242818048420222,0.934
"465",250,0.466666666666667,50,0.00266608350979712,0.916
"466",250,0.5,1,4.27847338802193e-05,0.998
"467",250,0.5,2.63333333333333,0.000182220053355738,0.994
"468",250,0.5,4.26666666666667,0.000278727864786029,0.99
"469",250,0.5,5.9,0.00035611240962039,0.98
"470",250,0.5,7.53333333333333,0.000442730387175496,0.978
"471",250,0.5,9.16666666666667,0.000562203058349809,0.984
"472",250,0.5,10.8,0.000701813691684559,0.984
"473",250,0.5,12.4333333333333,0.000834138712619568,0.986
"474",250,0.5,14.0666666666667,0.000946757992121574,0.972
"475",250,0.5,15.7,0.000821047186406652,0.978
"476",250,0.5,17.3333333333333,0.00116976558144289,0.968
"477",250,0.5,18.9666666666667,0.00112413361176419,0.956
"478",250,0.5,20.6,0.00120131605246409,0.966
"479",250,0.5,22.2333333333333,0.00129216506774707,0.952
"480",250,0.5,23.8666666666667,0.0012064033459898,0.974
"481",250,0.5,25.5,0.00138911366371688,0.94
"482",250,0.5,27.1333333333333,0.00174441534631798,0.944
"483",250,0.5,28.7666666666667,0.00147508214601518,0.946
"484",250,0.5,30.4,0.00171722840056579,0.946
"485",250,0.5,32.0333333333333,0.00192351466149121,0.932
"486",250,0.5,33.6666666666667,0.00200201555116528,0.934
"487",250,0.5,35.3,0.00206226495962064,0.93
"488",250,0.5,36.9333333333333,0.00221204154957658,0.94
"489",250,0.5,38.5666666666667,0.00234018356624351,0.928
"490",250,0.5,40.2,0.00232173178488653,0.91
"491",250,0.5,41.8333333333333,0.00228523393888736,0.93
"492",250,0.5,43.4666666666667,0.0024481896439228,0.92
"493",250,0.5,45.1,0.00252714667523973,0.914
"494",250,0.5,46.7333333333333,0.00248500607006613,0.916
"495",250,0.5,48.3666666666667,0.00258743702558049,0.92
"496",250,0.5,50,0.00302889397183192,0.918
"497",250,0.533333333333333,1,8.6781012338062e-05,0.998
"498",250,0.533333333333333,2.63333333333333,0.000284367021180066,0.994
"499",250,0.533333333333333,4.26666666666667,0.000373304671006313,0.98
"500",250,0.533333333333333,5.9,0.00031813795714445,0.99
"501",250,0.533333333333333,7.53333333333333,0.000650236575199863,0.984
"502",250,0.533333333333333,9.16666666666667,0.000610727211640944,0.968
"503",250,0.533333333333333,10.8,0.00063471476049646,0.984
"504",250,0.533333333333333,12.4333333333333,0.000757826978436625,0.976
"505",250,0.533333333333333,14.0666666666667,0.000980305253998006,0.978
"506",250,0.533333333333333,15.7,0.000972736403321711,0.968
"507",250,0.533333333333333,17.3333333333333,0.00114277497470315,0.964
"508",250,0.533333333333333,18.9666666666667,0.00121612243706539,0.96
"509",250,0.533333333333333,20.6,0.00124204772671154,0.96
"510",250,0.533333333333333,22.2333333333333,0.00148609426934256,0.942
"511",250,0.533333333333333,23.8666666666667,0.0015480099963925,0.926
"512",250,0.533333333333333,25.5,0.00163061778897537,0.952
"513",250,0.533333333333333,27.1333333333333,0.00175882363826919,0.932
"514",250,0.533333333333333,28.7666666666667,0.00183839535611349,0.948
"515",250,0.533333333333333,30.4,0.00191454744558292,0.94
"516",250,0.533333333333333,32.0333333333333,0.00197436313545567,0.93
"517",250,0.533333333333333,33.6666666666667,0.00208855608829991,0.92
"518",250,0.533333333333333,35.3,0.00232214032938195,0.918
"519",250,0.533333333333333,36.9333333333333,0.0019217512968569,0.93
"520",250,0.533333333333333,38.5666666666667,0.00230598852709414,0.904
"521",250,0.533333333333333,40.2,0.0024176924620448,0.912
"522",250,0.533333333333333,41.8333333333333,0.00249630987684373,0.914
"523",250,0.533333333333333,43.4666666666667,0.00280076636483525,0.908
"524",250,0.533333333333333,45.1,0.00286093765712134,0.928
"525",250,0.533333333333333,46.7333333333333,0.00282127467006774,0.902
"526",250,0.533333333333333,48.3666666666667,0.00302958101789879,0.902
"527",250,0.533333333333333,50,0.00305198133157512,0.902
"528",250,0.566666666666667,1,0.000125536553072953,0.994
"529",250,0.566666666666667,2.63333333333333,0.000140386507250507,0.996
"530",250,0.566666666666667,4.26666666666667,0.000347551757875774,0.994
"531",250,0.566666666666667,5.9,0.00043407997264799,0.984
"532",250,0.566666666666667,7.53333333333333,0.000546737582509342,0.986
"533",250,0.566666666666667,9.16666666666667,0.00064105064516776,0.98
"534",250,0.566666666666667,10.8,0.000740750295216669,0.964
"535",250,0.566666666666667,12.4333333333333,0.000766566869187636,0.98
"536",250,0.566666666666667,14.0666666666667,0.000987801747074873,0.968
"537",250,0.566666666666667,15.7,0.000952889820273713,0.97
"538",250,0.566666666666667,17.3333333333333,0.00134166914152146,0.944
"539",250,0.566666666666667,18.9666666666667,0.00128864913566781,0.966
"540",250,0.566666666666667,20.6,0.00115079694588299,0.964
"541",250,0.566666666666667,22.2333333333333,0.00143010925443761,0.958
"542",250,0.566666666666667,23.8666666666667,0.0014527699791915,0.954
"543",250,0.566666666666667,25.5,0.00162822991608224,0.958
"544",250,0.566666666666667,27.1333333333333,0.00179392193820455,0.936
"545",250,0.566666666666667,28.7666666666667,0.00183422673230323,0.932
"546",250,0.566666666666667,30.4,0.00200791413303553,0.916
"547",250,0.566666666666667,32.0333333333333,0.00213479506012389,0.918
"548",250,0.566666666666667,33.6666666666667,0.00212298031198833,0.948
"549",250,0.566666666666667,35.3,0.00224407492899986,0.942
"550",250,0.566666666666667,36.9333333333333,0.00254437122057261,0.906
"551",250,0.566666666666667,38.5666666666667,0.00269294252851693,0.902
"552",250,0.566666666666667,40.2,0.00248064798581048,0.908
"553",250,0.566666666666667,41.8333333333333,0.0028051023435122,0.908
"554",250,0.566666666666667,43.4666666666667,0.00292070704065395,0.892
"555",250,0.566666666666667,45.1,0.00292678051539481,0.902
"556",250,0.566666666666667,46.7333333333333,0.00299918113978934,0.904
"557",250,0.566666666666667,48.3666666666667,0.00297362190909236,0.91
"558",250,0.566666666666667,50,0.00340264526594114,0.892
"559",250,0.6,1,8.9484319215456e-05,1
"560",250,0.6,2.63333333333333,0.000234900412394814,0.996
"561",250,0.6,4.26666666666667,0.000355822512917763,0.988
"562",250,0.6,5.9,0.000364493940064798,0.996
"563",250,0.6,7.53333333333333,0.000558436949954867,0.988
"564",250,0.6,9.16666666666667,0.000719190619307945,0.978
"565",250,0.6,10.8,0.000795265485814943,0.978
"566",250,0.6,12.4333333333333,0.00101772036345515,0.97
"567",250,0.6,14.0666666666667,0.00102263182578646,0.968
"568",250,0.6,15.7,0.00100077824851645,0.972
"569",250,0.6,17.3333333333333,0.00130936726629035,0.958
"570",250,0.6,18.9666666666667,0.00121629286205662,0.954
"571",250,0.6,20.6,0.00124607498377743,0.948
"572",250,0.6,22.2333333333333,0.0014081840389573,0.946
"573",250,0.6,23.8666666666667,0.00191222420744979,0.918
"574",250,0.6,25.5,0.00159579258080997,0.94
"575",250,0.6,27.1333333333333,0.0019487234681701,0.924
"576",250,0.6,28.7666666666667,0.00208866667340975,0.934
"577",250,0.6,30.4,0.00206158489247231,0.938
"578",250,0.6,32.0333333333333,0.00216466697102186,0.92
"579",250,0.6,33.6666666666667,0.00205043553698624,0.9
"580",250,0.6,35.3,0.00234075667488484,0.9
"581",250,0.6,36.9333333333333,0.00254985225838386,0.912
"582",250,0.6,38.5666666666667,0.00279811041588413,0.922
"583",250,0.6,40.2,0.00262652037585461,0.916
"584",250,0.6,41.8333333333333,0.00304475729826516,0.872
"585",250,0.6,43.4666666666667,0.00312176327332513,0.894
"586",250,0.6,45.1,0.00304640055091856,0.896
"587",250,0.6,46.7333333333333,0.00307947077071308,0.902
"588",250,0.6,48.3666666666667,0.00316923068455405,0.904
"589",250,0.6,50,0.00341557278954095,0.894
"590",250,0.633333333333333,1,8.5953220771258e-05,0.998
"591",250,0.633333333333333,2.63333333333333,0.000269706766896384,0.992
"592",250,0.633333333333333,4.26666666666667,0.000305014955771608,0.986
"593",250,0.633333333333333,5.9,0.000536089630690263,0.988
"594",250,0.633333333333333,7.53333333333333,0.000513864832384827,0.992
"595",250,0.633333333333333,9.16666666666667,0.000679101080032962,0.984
"596",250,0.633333333333333,10.8,0.000801182907813227,0.978
"597",250,0.633333333333333,12.4333333333333,0.000776345548178316,0.98
"598",250,0.633333333333333,14.0666666666667,0.000974074087476289,0.966
"599",250,0.633333333333333,15.7,0.00121825873068807,0.958
"600",250,0.633333333333333,17.3333333333333,0.00120304251861881,0.956
"601",250,0.633333333333333,18.9666666666667,0.00129961495861122,0.948
"602",250,0.633333333333333,20.6,0.00154636196625271,0.956
"603",250,0.633333333333333,22.2333333333333,0.00178074575397899,0.924
"604",250,0.633333333333333,23.8666666666667,0.00180356095055826,0.934
"605",250,0.633333333333333,25.5,0.00191097256353266,0.95
"606",250,0.633333333333333,27.1333333333333,0.00183738864982822,0.952
"607",250,0.633333333333333,28.7666666666667,0.00225836700866315,0.938
"608",250,0.633333333333333,30.4,0.0021780641784412,0.928
"609",250,0.633333333333333,32.0333333333333,0.00231744340020109,0.94
"610",250,0.633333333333333,33.6666666666667,0.00235321723366896,0.928
"611",250,0.633333333333333,35.3,0.00267049626114943,0.912
"612",250,0.633333333333333,36.9333333333333,0.00280642452863022,0.902
"613",250,0.633333333333333,38.5666666666667,0.0026016687460542,0.896
"614",250,0.633333333333333,40.2,0.00302961268786864,0.876
"615",250,0.633333333333333,41.8333333333333,0.00320100810400455,0.9
"616",250,0.633333333333333,43.4666666666667,0.00319719846836629,0.858
"617",250,0.633333333333333,45.1,0.00336410902365871,0.864
"618",250,0.633333333333333,46.7333333333333,0.00313746637411297,0.898
"619",250,0.633333333333333,48.3666666666667,0.00324429378623408,0.882
"620",250,0.633333333333333,50,0.00366573030607198,0.872
"621",250,0.666666666666667,1,0.000139188687799013,0.998
"622",250,0.666666666666667,2.63333333333333,0.000243912338053657,0.984
"623",250,0.666666666666667,4.26666666666667,0.000383704977256539,0.992
"624",250,0.666666666666667,5.9,0.000576649180260953,0.988
"625",250,0.666666666666667,7.53333333333333,0.000615059963005807,0.976
"626",250,0.666666666666667,9.16666666666667,0.00090320189993381,0.968
"627",250,0.666666666666667,10.8,0.000831803997209018,0.978
"628",250,0.666666666666667,12.4333333333333,0.000942886377891978,0.962
"629",250,0.666666666666667,14.0666666666667,0.00106620403551648,0.968
"630",250,0.666666666666667,15.7,0.00118710055312485,0.964
"631",250,0.666666666666667,17.3333333333333,0.00128940641612132,0.964
"632",250,0.666666666666667,18.9666666666667,0.00147691186797888,0.952
"633",250,0.666666666666667,20.6,0.00163041746340397,0.932
"634",250,0.666666666666667,22.2333333333333,0.00172126150555114,0.954
"635",250,0.666666666666667,23.8666666666667,0.0018532274797898,0.924
"636",250,0.666666666666667,25.5,0.00186108928103115,0.944
"637",250,0.666666666666667,27.1333333333333,0.0018524855364829,0.932
